name,url,category,price
Loreal Professional Majirel Hair Color 5.52 Iridescent Mahogany Light Brown 50gm,https://www.sinorbeauty.com/details/Loreal-Professional-Majirel-Hair-Color-5-52-Iridescent-Mahogany-Light-Brown-50gm/101362/,HAIR,Tk.1100
PURC Damage Repair Disulfide Bond Reductive Hair Mask 100ml,https://www.sinorbeauty.com/details/PURC-Damage-Repair-Disulfide-Bond-Reductive-Hair-Mask-100ml/101361/,HAIR,Tk.1850
"Loreal Professional Aminexil Advanced Anti-Hair Loss Activator Serum, Treats Hair Loss in 6 weeks* (90ml)",https://www.sinorbeauty.com/details/Loreal-Professional-Aminexil-Advanced-Anti-Hair-Loss-Activator-Serum-Treats-Hair-Loss-in-6-weeks-90ml-/101360/,HAIR,Tk.4600
FRM Pro Ionic Curling Tong,https://www.sinorbeauty.com/details/FRM-Pro-Ionic-Curling-Tong/101356/,HAIR,Tk.1850
LOLANE PIXXEL OPTIMUM CARE HEAT PROTECTION VOLUME SPRAY,https://www.sinorbeauty.com/details/LOLANE-PIXXEL-OPTIMUM-CARE-HEAT-PROTECTION-VOLUME-SPRAY/101355/,HAIR,Tk.1550
Felps Acai Oil Shampoo 250ml & Conditioner 250ml,https://www.sinorbeauty.com/details/Felps-Acai-Oil-Shampoo-250ml-Conditioner-250ml/101353/,HAIR,Tk.5450
Vigor Hair Crimper Machine,https://www.sinorbeauty.com/details/Vigor-Hair-Crimper-Machine/101351/,HAIR,Tk.1250
N29 Kanina Professional Paris Rebonding Cream Permanent Hair Straightening Cream 950ml + 950ml,https://www.sinorbeauty.com/details/N29-Kanina-Professional-Paris-Rebonding-Cream-Permanent-Hair-Straightening-Cream-950ml-950ml/101350/,HAIR,Tk.3700
Loreal Professionnel ? DEEP NOURISHING CREAMBATH Hair Spa (490g),https://www.sinorbeauty.com/details/Loreal-Professionnel-DEEP-NOURISHING-CREAMBATH-Hair-Spa-490g-/101349/,HAIR,Tk.1950
Mielle Rosemary Mint Scalp & Hair Strengthening Oil ? 59ml,https://www.sinorbeauty.com/details/Mielle-Rosemary-Mint-Scalp-Hair-Strengthening-Oil-59ml/101336/,HAIR,Tk.1650
Matrix Opti.Sculpt Resistant Hair 500ml + 1000ml,https://www.sinorbeauty.com/details/Matrix-Opti-Sculpt-Resistant-Hair-500ml-1000ml/101335/,HAIR,Tk.3900
Loreal Professional Serie Expert Inforcer B6 + Biotin Hair Mask 500ml,https://www.sinorbeauty.com/details/Loreal-Professional-Serie-Expert-Inforcer-B6-Biotin-Hair-Mask-500ml/101329/,HAIR,Tk.3400
Ikonic Rose gold Titanium Plate 1.0 inch Straightener,https://www.sinorbeauty.com/details/Ikonic-Rose-gold-Titanium-Plate-1-0-inch-Straightener/101327/,HAIR,Tk.9500
Shiseido Crystaline H1+2(Normal) Hair Straightening (400ml+400ml),https://www.sinorbeauty.com/details/Shiseido-Crystaline-H1-2-Normal-Hair-Straightening-400ml-400ml-/101326/,HAIR,Tk.3500
Keratin Botox df Treatment Premium 800ml x 3 set,https://www.sinorbeauty.com/details/Keratin-Botox-df-Treatment-Premium-800ml-x-3-set/101325/,HAIR,Tk.7500
V&G Hair Dryer Pro Model 3100,https://www.sinorbeauty.com/details/V-G-Hair-Dryer-Pro-Model-3100/101308/,HAIR,Tk.1850
The Ordinary Multi-Peptide Serum for Hair Density (60ml),https://www.sinorbeauty.com/details/The-Ordinary-Multi-Peptide-Serum-for-Hair-Density-60ml-/101306/,HAIR,Tk.3500
Power Knight Natural Care Super Smoothing Treatment 1 mini pack 50ml,https://www.sinorbeauty.com/details/Power-Knight-Natural-Care-Super-Smoothing-Treatment-1-mini-pack-50ml/101303/,HAIR,Tk.350
Loreal Xtenso Care Pro- keratin + incell Masque -490g,https://www.sinorbeauty.com/details/Loreal-Xtenso-Care-Pro-keratin-incell-Masque-490g/101302/,HAIR,Tk.3400
Loreal Professionnel Serie Expert Absolut Repair Shampoo 300ml + Masque 250g,https://www.sinorbeauty.com/details/Loreal-Professionnel-Serie-Expert-Absolut-Repair-Shampoo-300ml-Masque-250g/101301/,HAIR,Tk.3200
Loreal Professional Serie Expert Absolut Repair Protein +Gold Quinoa Hair Mask (500ml),https://www.sinorbeauty.com/details/Loreal-Professional-Serie-Expert-Absolut-Repair-Protein-Gold-Quinoa-Hair-Mask-500ml-/101300/,HAIR,Tk.3450
Loreal Professionnel Hair Spa DX Creambath (490gm),https://www.sinorbeauty.com/details/Loreal-Professionnel-Hair-Spa-DX-Creambath-490gm-/101299/,HAIR,Tk.2050
"Loreal Xtenso Care Pro Sulfate Free, Paraben Free Shampoo (250 ml)",https://www.sinorbeauty.com/details/Loreal-Xtenso-Care-Pro-Sulfate-Free-Paraben-Free-Shampoo-250-ml-/101298/,HAIR,Tk.1850
Loreal Professional Serie Expert Vitamino Color Resveratrol Hair Mask (500ml),https://www.sinorbeauty.com/details/Loreal-Professional-Serie-Expert-Vitamino-Color-Resveratrol-Hair-Mask-500ml-/101297/,HAIR,Tk.3400
Loreal Professional Serie Expert Vitamino Color Resveratrol Shampoo (300ml),https://www.sinorbeauty.com/details/Loreal-Professional-Serie-Expert-Vitamino-Color-Resveratrol-Shampoo-300ml-/101296/,HAIR,Tk.1550
Loreal Professional Serie Expert Inforcer B6 + Biotin Hair Mask (250ml),https://www.sinorbeauty.com/details/Loreal-Professional-Serie-Expert-Inforcer-B6-Biotin-Hair-Mask-250ml-/101294/,HAIR,Tk.1750
Loreal Professional Serie Expert Inforcer B6+Biotin Shampoo (300ml),https://www.sinorbeauty.com/details/Loreal-Professional-Serie-Expert-Inforcer-B6-Biotin-Shampoo-300ml-/101293/,HAIR,Tk.1550
Loreal Inforcer Shmapoo & Hair mask,https://www.sinorbeauty.com/details/Loreal-Inforcer-Shmapoo-Hair-mask/101292/,HAIR,Tk.3100
Loreal Xtenso Care  Sulfate Free Shampoo & Masque,https://www.sinorbeauty.com/details/Loreal-Xtenso-Care-Sulfate-Free-Shampoo-Masque/101291/,HAIR,Tk.3900
Ogx Biotin & Collagen shampoo 385ml,https://www.sinorbeauty.com/details/Ogx-Biotin-Collagen-shampoo-385ml/101290/,HAIR,Tk.1650
Loreal Elvive Colour Protect Anti-Brassiness Purple Reviving OIl 100ml,https://www.sinorbeauty.com/details/Loreal-Elvive-Colour-Protect-Anti-Brassiness-Purple-Reviving-OIl-100ml/101289/,HAIR,Tk.1950
"Godrej Professional Probio Keratin Revive Hair Serum, 100ml",https://www.sinorbeauty.com/details/Godrej-Professional-Probio-Keratin-Revive-Hair-Serum-100ml/101279/,HAIR,Tk.1650
Brazilian Keratin Hair mask Botox Hair Treatment Professional Hair Expert 1000ml,https://www.sinorbeauty.com/details/Brazilian-Keratin-Hair-mask-Botox-Hair-Treatment-Professional-Hair-Expert-1000ml/101262/,HAIR,Tk.2050
Schwarzkopf Keratin Mousse 250ml,https://www.sinorbeauty.com/details/Schwarzkopf-Keratin-Mousse-250ml/101261/,HAIR,Tk.1980
SCHWARZKOPF PROFESSIONAL STYLING KERATIN HAIR SPRAY 400ML,https://www.sinorbeauty.com/details/SCHWARZKOPF-PROFESSIONAL-STYLING-KERATIN-HAIR-SPRAY-400ML/101260/,HAIR,Tk.1680
Schwarzkopf Keratin Heat Protect Spray,https://www.sinorbeauty.com/details/Schwarzkopf-Keratin-Heat-Protect-Spray/101259/,HAIR,Tk.1450
Schwarzkopf got2b Glued Hairspray 300mL,https://www.sinorbeauty.com/details/Schwarzkopf-got2b-Glued-Hairspray-300mL/101258/,HAIR,Tk.1400
Loreal Elvive Full Resist Reinforcing Shampoo ? 400ml,https://www.sinorbeauty.com/details/Loreal-Elvive-Full-Resist-Reinforcing-Shampoo-400ml/101250/,HAIR,Tk.1130
Ikonic Hair Straighterner Pro Titanium Shine,https://www.sinorbeauty.com/details/Ikonic-Hair-Straighterner-Pro-Titanium-Shine/101246/,HAIR,Tk.8800
Streax Professional Canvo Line Shampoo Conditioner,https://www.sinorbeauty.com/details/Streax-Professional-Canvo-Line-Shampoo-Conditioner/101244/,HAIR,Tk.2000
SCHWARZKOPF PROFESSIONAL Session Label The Mousse 200 ml,https://www.sinorbeauty.com/details/SCHWARZKOPF-PROFESSIONAL-Session-Label-The-Mousse-200-ml/101240/,HAIR,Tk.1950
"Wella Welloxon 9% 30 Vol Cream Developer China, 1000ml",https://www.sinorbeauty.com/details/Wella-Welloxon-9-30-Vol-Cream-Developer-China-1000ml/101238/,HAIR,Tk.570
"Round Brush Hairstyle Wavy Styling Tool Brush, Wood Brown",https://www.sinorbeauty.com/details/Round-Brush-Hairstyle-Wavy-Styling-Tool-Brush-Wood-Brown/101233/,HAIR,Tk.350
V&G Professional Hair Curling 28mm,https://www.sinorbeauty.com/details/V-G-Professional-Hair-Curling-28mm/101232/,HAIR,Tk.1850
The Ordinary Multi peptide serum 60ml,https://www.sinorbeauty.com/details/The-Ordinary-Multi-peptide-serum-60ml/101228/,HAIR,Tk.1080
SADOER Ginger Essence Hair Mask Repairing Moisturizing Smoothing Hair Care Cream Spa 500g,https://www.sinorbeauty.com/details/SADOER-Ginger-Essence-Hair-Mask-Repairing-Moisturizing-Smoothing-Hair-Care-Cream-Spa-500g/101227/,HAIR,Tk.1150
Cosmo Blue Bleaching Powder 500gm,https://www.sinorbeauty.com/details/Cosmo-Blue-Bleaching-Powder-500gm/101215/,HAIR,Tk.2250
Cosmo Oxidizing Emulsion Cream 30 Vol. 1000 mL,https://www.sinorbeauty.com/details/Cosmo-Oxidizing-Emulsion-Cream-30-Vol-1000-mL/101214/,HAIR,Tk.2250
Kemei Hair Waver 5 Barrel,https://www.sinorbeauty.com/details/Kemei-Hair-Waver-5-Barrel/101213/,HAIR,Tk.1650
V&G Hair Dryer Pro Model4200,https://www.sinorbeauty.com/details/V-G-Hair-Dryer-Pro-Model4200/101212/,HAIR,Tk.1650
Vigor Hair Curling 19mm,https://www.sinorbeauty.com/details/Vigor-Hair-Curling-19mm/101211/,HAIR,Tk.1850
Ikonic S3+ hair straightener Black,https://www.sinorbeauty.com/details/Ikonic-S3-hair-straightener-Black/101210/,HAIR,Tk.6500
Abiao Hair Straightener Black,https://www.sinorbeauty.com/details/Abiao-Hair-Straightener-Black/101196/,HAIR,Tk.2145
Loreal Professionnel Serie Expert - Vitamino Color Resveratrol Professional Concentrate Treatment (For Colored Hair) 400ml,https://www.sinorbeauty.com/details/Loreal-Professionnel-Serie-Expert-Vitamino-Color-Resveratrol-Professional-Concentrate-Treatment-For-Colored-Hair-400ml/101195/,HAIR,Tk.4500
Schwarzkopf Silhouette Flexible Hold Hairspray 500 ml,https://www.sinorbeauty.com/details/Schwarzkopf-Silhouette-Flexible-Hold-Hairspray-500-ml/101193/,HAIR,Tk.3600
Schwarzkopf Osis Session Label Strong Hold Hairspray 300ml,https://www.sinorbeauty.com/details/Schwarzkopf-Osis-Session-Label-Strong-Hold-Hairspray-300ml/101192/,HAIR,Tk.1950
COLLAGEN WITH KERATIN EXTRA HOLD HAIR SPRAY,https://www.sinorbeauty.com/details/COLLAGEN-WITH-KERATIN-EXTRA-HOLD-HAIR-SPRAY/101190/,HAIR,Tk.480
KERAFILL KERATIN TREATMENT 1000ml,https://www.sinorbeauty.com/details/KERAFILL-KERATIN-TREATMENT-1000ml/101188/,HAIR,Tk.4500
Fanola No Yellow Shampoo 1000ml,https://www.sinorbeauty.com/details/Fanola-No-Yellow-Shampoo-1000ml/101187/,HAIR,Tk.4500
Fanola No Yellow Care Mask 350ml,https://www.sinorbeauty.com/details/Fanola-No-Yellow-Care-Mask-350ml/101186/,HAIR,Tk.1750
Fanola Extra Blue Pigment No Orange Mask 350ml,https://www.sinorbeauty.com/details/Fanola-Extra-Blue-Pigment-No-Orange-Mask-350ml/101185/,HAIR,Tk.1750
Fanola Extra Blue Pigment No Orange Shampoo 350ml,https://www.sinorbeauty.com/details/Fanola-Extra-Blue-Pigment-No-Orange-Shampoo-350ml/101184/,HAIR,Tk.1950
Fanola No Yellow Shampoo 350ml,https://www.sinorbeauty.com/details/Fanola-No-Yellow-Shampoo-350ml/101183/,HAIR,Tk.1950
